"Field Number","Field ID","Field Label","Is Required","Min Occurrences","Max Occurrences","Business Rules","List of Values","Min Characters or Value","Max Characters or Value","Help Tip"
" 10-17","Remaining Recipient Share","k. Remaining recipient share to be provided (line i minus j)","No"," 0"," 1","Calculated. Line i minus j. If less than zero, then 0.",""," 0","999999999999.99","Remaining recipient share to be provided (line i minus j). This is a calculated field."
" 10-19","Total Federal Program Income Earned","l. Total Federal program income earned","No"," 0"," 1","Default to zero.",""," 0","999999999999.99","Enter the total federal program income earned."
" 10-20","Program Income Expended in Accordance with Deduction Alternative","m. Program Income expended in accordance with the deduction alternative","No"," 0"," 1","Default to zero. If Line N has a # in it greater than zero, then line m must be zero.",""," 0","999999999999.99","Enter Program Income expended in accordance with the deduction alternative. If Line N has a value greater than zero, then Line M must be zero."
" 10-21","Program Income Expended in Accordance with Addition Alternative","n. Program Income expended in accordance with the addition alternative","No"," 0"," 1","Default to zero. If Line M has a # in it greater than zero, then line n must be zero.",""," 0","999999999999.99","Enter Program Income expended in accordance with the addition alternative. If Line M has a value greater than zero, then Line N must be zero."
" 10-22","Unexpended Program Income","o. Unexpended program income (line l minus line m or line n)","No"," 0"," 1","Calculated. Line L minus (line M + Line N) = Line 0.",""," 0","999999999999.99","Enter Unexpended program income (line l minus line m or line n)."
" 11-08","Type","","No"," 0"," 2","",""," 0"," 50","Enter the type of indirect expense."
" 11-09","Rate","","No"," 0"," 2","","","0.00"," 100","Enter the rate for the given indirect expense."
" 11-10","Period From","","No"," 0"," 2","","","","","Enter the start date of the indirect expense."
" 11-11","Period To","","No"," 0"," 2","To date cannot before from date.","","","","Enter the end date of the indirect expense."
" 11-12","Base","","No"," 0"," 2","",""," 0","999999999999.99","Enter base amount for the type of indirect expense."
" 11-13","Amount Charged","","No"," 0"," 2","",""," 0","999999999999.99","Enter amount charged for the type of indirect expense."
" 11-14","Federal Share","","No"," 0"," 2","",""," 0","999999999999.99","Enter the Federal Share for the type of indirect expense."
" 11-16","Total Base","","No"," 0"," 1","Calculated. Sum of Base.",""," 0","9999999999999.99","This is a calculated field."
" 11-17","Total Amount Charged","","No"," 0"," 1","Calculated. Sum of Amount Charged.",""," 0","9999999999999.99","This is a calculated field."
" 11-18","Total Federal Share","","No"," 0"," 1","Calculated. Sum of Federal Share.",""," 0","9999999999999.99","This is a calculated field."
" 12-1","Remarks","","No"," 0"," 1","","","","","Attach any explanations deemed necessary or information required by Federal sponsoring agency in compliance with governing legislation."
" 13-1-1","Prefix","Prefix:","No"," 0"," 1","","Mr.; Mrs.; Miss; Ms.; Dr.; Rev.; Prof."," 0"," 10","Select the Prefix from the provided list or enter a new Prefix not provided on the list."
" 13-1-2","First Name","First Name:","Yes"," 1"," 1","",""," 1"," 35","Enter the First Name. This field is required."
" 13-1-3","Middle Name","Middle Name:","No"," 0"," 1","",""," 0"," 25","Enter the Middle Name."
" 13-1-4","Last Name","Last Name:","Yes"," 1"," 1","",""," 1"," 60","Enter the Last Name. This field is required."
" 13-1-5","Suffix","Suffix:","No"," 0"," 1","","Jr.; Sr.; M.D.; Ph.D"," 0"," 10","Select the Suffix from the provided list or enter a new Suffix not provided on the list."
" 13-1-6","Title","Title:","Yes"," 1"," 1","",""," 1"," 45","Enter the position title. This field is required."
" 13-2","Signature","b. Signature of Authorized Certifying Official","No"," 0"," 1","",""," 0"," 144","Report is to be signed by the Authorized Certifying Official."
" 13-3","Telephone Number","c. Telephone (Area code, number and extension)","Yes"," 1"," 1","",""," 1"," 25","Enter the daytime Telephone Number. This field is required."
" 13-4","Email","d. Email Address","Yes"," 1"," 1","E-mail validation",""," 1"," 60","Enter a valid Email Address. This field is required."
" 13-5","Date Report Submitted","e. Date Report Submitted","Yes"," 1"," 1","","","","","Enter the date this report was submitted as mm/dd/yyyy. This field is required."
